tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
1,-45.250,3.000,22.108,-0.074,0.017,0.019,26.157,22.050,14.000,0.846,0.246,0.985,0.000,0.000
5,-45.276,3.006,22.115,-0.650,0.143,0.163,26.177,22.076,13.994,1.288,0.200,0.980,0.000,0.000
9,-45.335,3.019,22.129,-1.175,0.268,0.294,26.220,22.135,13.981,1.248,0.300,0.980,0.000,0.000
13,-45.427,3.040,22.152,-1.698,0.408,0.424,26.287,22.227,13.960,1.400,0.519,0.986,0.000,0.000
17,-45.557,3.074,22.185,-2.225,0.636,0.556,26.382,22.357,13.926,0.592,0.106,0.973,0.000,0.000
21,-45.660,3.119,22.211,-1.078,0.755,0.269,26.446,22.460,13.880,0.957,0.118,0.973,0.000,0.000
25,-45.689,3.168,22.218,0.084,0.779,-0.021,26.446,22.489,13.832,1.023,0.089,0.969,0.000,0.000
29,-45.643,3.220,22.206,1.250,0.788,-0.313,26.379,22.443,13.780,1.447,-0.610,0.969,0.000,0.000
33,-45.530,3.262,22.178,2.254,0.474,-0.563,26.259,22.330,13.738,1.506,0.183,0.954,0.000,0.000
37,-45.355,3.286,22.134,3.220,0.377,-0.805,26.096,22.155,13.714,1.158,-0.430,0.941,0.000,0.000
41,-45.110,3.305,22.073,4.145,0.130,-1.036,25.875,21.910,13.695,0.746,0.006,0.926,0.000,0.000
45,-44.822,3.307,22.001,4.956,0.029,-1.239,25.626,21.622,13.693,1.512,-0.343,0.927,0.000,0.000
49,-44.484,3.305,21.917,5.717,-0.133,-1.429,25.338,21.284,13.695,0.151,-0.391,0.918,0.000,0.000
53,-44.087,3.279,21.817,6.170,-0.758,-1.543,25.016,20.887,13.721,0.857,-0.291,0.931,0.000,0.000
57,-43.682,3.215,21.716,6.746,-1.130,-1.686,24.709,20.482,13.785,1.155,0.838,0.927,0.000,0.000
61,-43.237,3.150,21.605,7.317,-0.818,-1.829,24.375,20.037,13.850,0.400,-0.103,0.899,0.000,0.000
65,-42.735,3.102,21.479,7.886,-0.781,-1.971,23.987,19.535,13.898,0.953,0.353,0.925,0.000,0.000
69,-42.220,3.055,21.351,8.412,-0.619,-2.103,23.594,19.020,13.945,0.993,0.896,0.915,0.000,0.000
73,-41.676,3.030,21.215,8.786,-0.142,-2.196,23.169,18.477,13.970,0.814,0.768,0.893,0.000,0.000
77,-41.085,3.040,21.067,9.104,0.391,-2.276,22.692,17.885,13.960,0.545,0.424,0.906,0.000,0.000
81,-40.501,3.079,20.921,9.430,0.827,-2.357,22.207,17.301,13.921,0.680,0.258,0.896,0.000,0.000
85,-39.888,3.143,20.840,9.993,1.144,0,21.692,16.688,13.857,0.862,0.311,0.883,0.000,0.000
89,-39.224,3.226,20.840,10.134,1.330,0,21.131,16.023,13.774,1.227,0.164,0.911,0.000,0.000
93,-38.580,3.312,20.840,10.301,1.373,0,20.590,15.380,13.688,-1.444,0.090,0.919,0.000,0.000
97,-37.972,3.393,20.840,9.754,1.339,0,20.084,14.773,13.607,-1.023,-0.142,0.919,0.000,0.000
101,-37.335,3.482,20.840,8.783,1.209,0,19.559,14.135,13.518,1.131,-0.107,0.928,0.000,0.000
105,-36.791,3.552,20.840,8.733,1.031,0,19.120,13.591,13.448,0.507,-0.964,0.930,0.000,0.000
109,-36.263,3.598,20.840,8.811,0.398,0,18.715,13.063,13.402,0.660,-0.669,0.915,0.000,0.000
113,-35.654,3.595,20.840,8.836,-0.382,0,18.298,12.454,13.405,1.039,-0.133,0.921,0.000,0.000
117,-35.092,3.560,20.840,9.035,-0.617,0,17.947,11.892,13.440,1.276,-0.404,0.908,0.000,0.000
121,-34.516,3.516,20.840,9.243,-0.818,0,17.604,11.316,13.484,0.628,0.857,0.886,0.000,0.000
