update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
55341,113274911,5314,12973.1629,-0.002594,4.897778,2.898460
55342,113276959,5314,12973.1629,0.000087,3.906710,2.899081
55343,113279007,5314,12973.1629,-0.000367,3.327908,2.899055
55344,113281055,5314,12973.1629,-0.001628,2.235446,2.898764
55345,113283103,5314,12973.1629,-0.000611,3.159323,2.898179
55346,113285151,5314,12973.1629,-0.003017,3.070413,2.898648
55347,113287199,5314,12973.1629,-0.000667,3.912284,2.899557
55348,113289247,5314,12973.1629,-0.001443,3.151034,2.900110
55349,113291295,5314,12973.1629,-0.004301,3.432737,2.900238
55350,113293343,5314,12973.1629,0.001471,1.955983,2.900789
55351,113295391,5314,12973.1629,-0.005131,4.711698,2.901132
55352,113297439,5314,12973.1629,-0.003847,2.845493,2.901689
55353,113299487,5314,12973.1629,-0.001457,2.265058,2.902916
55354,113301535,5314,12973.1629,-0.001304,3.040855,2.902876
55355,113303583,5314,12973.1629,-0.001417,3.108712,2.903107
55356,113305631,5314,12973.1629,-0.000659,1.889010,2.902902
55357,113307679,5314,12973.1629,-0.002251,3.515390,2.902655
55358,113309727,5314,12973.1629,-0.002158,6.918707,2.903725
55359,113311775,5314,12973.1629,0.000402,4.471218,2.904291
55360,113313823,5314,12973.1629,-0.001166,7.152999,2.904668
55361,113315871,5314,12973.1629,-0.001958,4.169663,2.905134
55362,113317919,5314,12973.1629,-0.001957,3.307470,2.905079
55363,113319967,5314,12973.1629,-0.003209,4.990631,2.905129
55364,113322015,5314,12973.1629,-0.002296,2.191483,2.905405
55365,113324063,5314,12973.1629,-0.002325,2.357479,2.905111
55366,113326111,5314,12973.1629,-0.000306,2.355296,2.905284
55367,113328159,5314,12973.1629,-0.001474,1.379193,2.905363
55368,113330207,5314,12973.1629,-0.003211,1.821974,2.906138
55369,113332255,5314,12973.1629,-0.002988,4.392127,2.906770
55370,113334303,5314,12973.1629,-0.000532,1.459251,2.906452
55371,113336351,5314,12973.1629,0.000006,3.723788,2.906027
55372,113338399,5314,12973.1629,-0.002883,3.081825,2.906084
55373,113340447,5314,12973.1629,-0.003284,3.457278,2.906066
55374,113342495,5314,12973.1629,-0.002743,5.079919,2.905702
55375,113344543,5314,12973.1629,-0.003531,3.849098,2.905556
55376,113346591,5314,12973.1629,-0.002734,1.090989,2.905169
55377,113348639,5314,12973.1629,-0.000563,3.240719,2.905313
55378,113350687,5314,12973.1629,-0.001517,4.474030,2.905439
