update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
14191,29063168,1539,14697.8406,-0.003464,2.330599,0.658479
14192,29065216,1539,14697.8406,-0.004173,2.494181,0.658770
14193,29067264,1539,14697.8406,-0.001081,1.551130,0.659100
14194,29069312,1539,14697.8406,-0.002871,1.183701,0.659319
14195,29071360,1539,14697.8406,-0.002447,1.532121,0.659013
14196,29073408,1539,14697.8406,-0.002913,1.312098,0.658800
14197,29075456,1539,14697.8406,-0.001851,0.776803,0.659283
14198,29077504,1540,14663.9246,0.000977,1.208612,0.659382
14199,29079552,1540,14663.9246,-0.000847,0.909906,0.659444
14200,29081600,1540,14663.9246,-0.001029,0.797955,0.659212
14201,29083648,1540,14663.9246,0.001815,1.227796,0.659051
14202,29085696,1540,14663.9246,0.002905,0.705154,0.659241
14203,29087744,1540,14663.9246,-0.001483,0.875152,0.659210
14204,29089792,1540,14663.9246,0.002089,1.112856,0.659140
14205,29091840,1540,14663.9246,0.002532,0.901956,0.659067
14206,29093888,1540,14663.9246,-0.002797,1.045821,0.658936
14207,29095936,1541,14676.4695,0.004617,1.480587,0.658918
14208,29097984,1541,14676.4695,0.002715,0.878976,0.659014
14209,29100032,1541,14676.4695,0.001575,1.028523,0.658907
14210,29102080,1541,14676.4695,-0.000463,1.043885,0.658822
14211,29104128,1541,14676.4695,0.002826,0.588703,0.658553
14212,29106176,1541,14676.4695,0.003315,1.158884,0.658466
14213,29108224,1541,14676.4695,-0.003512,0.743033,0.658781
14214,29110272,1541,14676.4695,0.001982,0.704338,0.659016
14215,29112320,1541,14676.4695,0.001617,0.424282,0.659105
14216,29114368,1542,14700.7605,0.001554,1.358683,0.659176
14217,29116416,1542,14700.7605,-0.002495,0.772564,0.659449
14218,29118464,1542,14700.7605,-0.003296,1.228132,0.659658
14219,29120512,1542,14700.7605,-0.002400,1.455240,0.660078
14220,29122560,1542,14700.7605,0.003442,1.586299,0.660227
14221,29124608,1542,14700.7605,-0.003528,1.725770,0.659539
14222,29126656,1542,14700.7605,-0.002819,1.443922,0.659374
14223,29128704,1542,14700.7605,-0.000680,1.427860,0.659139
14224,29130752,1542,14700.7605,0.001155,1.101555,0.658960
14225,29132800,1543,14677.2463,-0.000327,1.547275,0.658790
14226,29134848,1543,14677.2463,0.000125,1.146408,0.658352
14227,29136896,1543,14677.2463,-0.001512,1.171662,0.658085
14228,29138944,1543,14677.2463,-0.000638,0.777156,0.657842
14229,29140992,1543,14677.2463,-0.003229,1.392787,0.657724
14230,29143040,1543,14677.2463,0.000422,0.890721,0.657426
14231,29145088,1543,14677.2463,0.004553,0.986737,0.657298
14232,29147136,1543,14677.2463,-0.000351,0.749346,0.657190
14233,29149184,1543,14677.2463,0.002479,0.945477,0.657242
14234,29151232,1543,14677.2463,-0.000645,1.037076,0.657465
14235,29153280,1544,14667.4627,-0.001672,1.601100,0.657686
14236,29155328,1544,14667.4627,-0.001445,1.112155,0.657671
14237,29157376,1544,14667.4627,-0.001207,1.229152,0.657312
14238,29159424,1544,14667.4627,-0.000051,1.025827,0.657202
14239,29161472,1544,14667.4627,0.001250,0.771199,0.656798
14240,29163520,1544,14667.4627,0.000967,1.908108,0.656582
14241,29165568,1544,14667.4627,-0.003635,0.969653,0.656209
14242,29167616,1544,14667.4627,-0.000496,1.127663,0.656013
14243,29169664,1544,14667.4627,0.000363,1.068282,0.656101
14244,29171712,1545,14658.8316,-0.001897,1.255554,0.656076
14245,29173760,1545,14658.8316,-0.001280,0.992873,0.656209
14246,29175808,1545,14658.8316,-0.000573,1.408301,0.656213
14247,29177856,1545,14658.8316,0.002688,0.804868,0.656406
14248,29179904,1545,14658.8316,-0.002484,0.889739,0.656397
14249,29181952,1545,14658.8316,0.008419,1.459607,0.656523
14250,29184000,1545,14658.8316,-0.001561,1.010894,0.656378
14251,29186048,1545,14658.8316,0.001840,0.698105,0.655604
14252,29188096,1545,14658.8316,-0.001216,1.184383,0.655284
14253,29190144,1546,14652.3633,0.000483,0.884516,0.655371
14254,29192192,1546,14652.3633,-0.001783,0.602299,0.655541
14255,29194240,1546,14652.3633,-0.000442,1.008177,0.655879
14256,29196288,1546,14652.3633,-0.000926,0.657762,0.655949
14257,29198336,1546,14652.3633,-0.000094,1.049503,0.655980
14258,29200384,1546,14652.3633,-0.001200,1.135501,0.655678
14259,29202432,1546,14652.3633,-0.002711,0.996483,0.655434
14260,29204480,1546,14652.3633,-0.001131,1.034759,0.655765
14261,29206528,1546,14652.3633,0.004106,1.418943,0.655531
14262,29208576,1547,14696.8317,0.000518,1.798640,0.655541
14263,29210624,1547,14696.8317,0.001531,1.062783,0.655437
14264,29212672,1547,14696.8317,-0.004613,1.283706,0.655259
14265,29214720,1547,14696.8317,0.001336,1.300560,0.655327
14266,29216768,1547,14696.8317,-0.001062,1.081664,0.655058
14267,29218816,1547,14696.8317,-0.003582,1.574378,0.654692
14268,29220864,1547,14696.8317,-0.001182,1.232040,0.654156
14269,29222912,1547,14696.8317,-0.000308,1.601058,0.654141
14270,29224960,1547,14696.8317,0.001464,1.099641,0.654387
14271,29227008,1547,14696.8317,-0.003752,1.383439,0.654384
14272,29229056,1548,14698.8427,0.001620,2.003631,0.654518
14273,29231104,1548,14698.8427,-0.002227,1.337890,0.654587
14274,29233152,1548,14698.8427,-0.001739,1.330761,0.654656
14275,29235200,1548,14698.8427,-0.001002,1.673236,0.654411
14276,29237248,1548,14698.8427,-0.002149,0.916695,0.654410
14277,29239296,1548,14698.8427,-0.000131,1.035993,0.654108
14278,29241344,1548,14698.8427,-0.001670,0.949758,0.654183
14279,29243392,1548,14698.8427,-0.002298,0.822057,0.654385
14280,29245440,1548,14698.8427,-0.002383,1.091625,0.654404
14281,29247488,1549,14676.9285,-0.002295,1.011398,0.654740
14282,29249536,1549,14676.9285,-0.002643,1.471910,0.654850
14283,29251584,1549,14676.9285,0.000392,1.842548,0.654836
14284,29253632,1549,14676.9285,-0.007392,1.280850,0.654989
14285,29255680,1549,14676.9285,0.004787,0.861890,0.655120
14286,29257728,1549,14676.9285,-0.000438,0.554081,0.654983
14287,29259776,1549,14676.9285,-0.003072,0.711541,0.654861
14288,29261824,1549,14676.9285,-0.001642,0.707554,0.654765
14289,29263872,1549,14676.9285,-0.004138,1.102236,0.654685
14290,29265920,1550,14679.2861,0.000961,1.144419,0.654797
14291,29267968,1550,14679.2861,-0.002287,0.804169,0.654678
14292,29270016,1550,14679.2861,-0.001515,1.231341,0.654644
14293,29272064,1550,14679.2861,-0.001071,1.083303,0.654432
14294,29274112,1550,14679.2861,-0.000864,0.750624,0.654179
14295,29276160,1550,14679.2861,-0.002967,1.031764,0.653640
14296,29278208,1550,14679.2861,-0.001906,1.220521,0.653402
14297,29280256,1550,14679.2861,-0.000774,0.606103,0.653115
14298,29282304,1550,14679.2861,-0.001064,0.748643,0.652748
14299,29284352,1551,14684.5839,-0.001889,1.378038,0.652813
14300,29286400,1551,14684.5839,-0.000908,0.789762,0.652754
14301,29288448,1551,14684.5839,-0.001367,1.605567,0.652304
14302,29290496,1551,14684.5839,-0.000837,1.031567,0.652176
14303,29292544,1551,14684.5839,-0.001404,1.022872,0.652120
14304,29294592,1551,14684.5839,0.000945,1.106217,0.651845
14305,29296640,1551,14684.5839,-0.003981,1.025366,0.651850
14306,29298688,1551,14684.5839,-0.002370,1.214070,0.651637
14307,29300736,1551,14684.5839,-0.000208,1.578756,0.651416
14308,29302784,1552,14670.4631,-0.002089,1.683472,0.651484
14309,29304832,1552,14670.4631,-0.003283,1.984935,0.651808
14310,29306880,1552,14670.4631,-0.002707,1.157141,0.651858
