KingOfTheMarble_Hunt: start (-12.0, 1.0) floor z 20.65; step 16 ms; waiting for the game on port 8920
[env:8920] waiting for the game
[env:8920] game connected (1)
  speed  0.0 (takeoff  0.00) hold 1: apex 1.33 u, flight 0.75 s, range 1.81 u, landed 1
  speed  0.0 (takeoff  0.00) hold 1: apex 3.16 u, flight 1.18 s, range -1.18 u, landed 1
  speed  2.0 (takeoff  5.05) hold 1: apex 1.33 u, flight 0.75 s, range 5.95 u, landed 1
  speed  2.0 (takeoff  5.05) hold 1: apex 1.33 u, flight 0.75 s, range 5.95 u, landed 1
  speed  4.0 (takeoff  5.61) hold 1: apex 1.33 u, flight 0.75 s, range 6.39 u, landed 1
  speed  4.0 (takeoff  5.61) hold 1: apex 1.33 u, flight 0.75 s, range 6.39 u, landed 1
  speed  6.0 (takeoff  7.72) hold 1: apex 1.34 u, flight 0.75 s, range 7.28 u, landed 1
  speed  6.0 (takeoff  7.72) hold 1: apex 1.34 u, flight 0.75 s, range 7.28 u, landed 1
  speed  8.0 (takeoff  9.52) hold 1: apex 1.34 u, flight 0.77 s, range 8.85 u, landed 1
  speed  8.0 (takeoff  9.52) hold 1: apex 1.34 u, flight 0.77 s, range 8.85 u, landed 1
  speed 10.0 (takeoff 11.39) hold 1: apex 1.34 u, flight 0.77 s, range 10.26 u, landed 1
  speed 10.0 (takeoff 11.39) hold 1: apex 1.34 u, flight 0.77 s, range 10.26 u, landed 1
  speed 12.0 (takeoff 13.29) hold 1: apex 1.34 u, flight 0.77 s, range 11.71 u, landed 1
  speed 12.0 (takeoff 13.29) hold 1: apex 1.34 u, flight 0.77 s, range 11.71 u, landed 1
  speed 14.0 (takeoff 15.22) hold 1: apex 1.35 u, flight 0.77 s, range 13.18 u, landed 1
  speed 14.0 (takeoff 15.22) hold 1: apex 1.35 u, flight 0.77 s, range 13.18 u, landed 1
  speed 16.0 (takeoff 17.16) hold 1: apex 1.35 u, flight 0.77 s, range 14.67 u, landed 1
  speed 16.0 (takeoff 17.16) hold 1: apex 1.35 u, flight 0.77 s, range 14.67 u, landed 1
  speed  0.0 (takeoff  0.00) hold 0: apex 1.33 u, flight 0.75 s, range 0.00 u, landed 1
  speed  0.0 (takeoff  0.00) hold 0: apex 1.33 u, flight 0.75 s, range 0.00 u, landed 1
  speed  2.0 (takeoff  5.05) hold 0: apex 1.33 u, flight 0.75 s, range 4.14 u, landed 1
  speed  2.0 (takeoff  5.05) hold 0: apex 1.33 u, flight 0.75 s, range 4.14 u, landed 1
  speed  4.0 (takeoff  5.61) hold 0: apex 1.33 u, flight 0.75 s, range 4.58 u, landed 1
  speed  4.0 (takeoff  5.61) hold 0: apex 1.33 u, flight 0.75 s, range 4.58 u, landed 1
  speed  6.0 (takeoff  7.72) hold 0: apex 1.34 u, flight 0.75 s, range 5.46 u, landed 1
  speed  6.0 (takeoff  7.72) hold 0: apex 1.34 u, flight 0.75 s, range 5.46 u, landed 1
  speed  8.0 (takeoff  9.52) hold 0: apex 1.34 u, flight 1.09 s, range 8.97 u, landed 1
  speed  8.0 (takeoff  9.52) hold 0: apex 1.34 u, flight 1.09 s, range 8.97 u, landed 1
  speed 10.0 (takeoff 11.39) hold 0: apex 1.34 u, flight 1.10 s, range 10.80 u, landed 1
  speed 10.0 (takeoff 11.39) hold 0: apex 1.34 u, flight 1.10 s, range 10.80 u, landed 1
  speed 12.0 (takeoff 13.29) hold 0: apex 1.34 u, flight 1.10 s, range 12.88 u, landed 1
  speed 12.0 (takeoff 13.29) hold 0: apex 1.34 u, flight 1.10 s, range 12.88 u, landed 1
  speed 14.0 (takeoff 15.22) hold 0: apex 1.35 u, flight 1.10 s, range 14.99 u, landed 1
  speed 14.0 (takeoff 15.22) hold 0: apex 1.35 u, flight 1.10 s, range 14.99 u, landed 1
  speed 16.0 (takeoff 17.16) hold 0: apex 1.35 u, flight 1.10 s, range 17.13 u, landed 1
  speed 16.0 (takeoff 17.16) hold 0: apex 1.35 u, flight 1.10 s, range 17.13 u, landed 1
wrote C:\Users\doug\OneDrive\Documents\GitHub\PlatinumQuest-Dev\ml_agent\logs\physics\jump_envelope_KingOfTheMarble_Hunt.csv and C:\Users\doug\OneDrive\Documents\GitHub\PlatinumQuest-Dev\ml_agent\physics\jump_envelope.json
