round,dec,x,y,z,vx,vy,speed,on_floor,tx,ty,tdist,nx,ny,gx,gy,nvis,gem,fell,fwd,back,left,right,jump
1,1,-7.30,26.99,21.57,-3.48,-0.36,3.50,0,-13.2,15.0,13.36,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.05,0.95,0.00,0
1,2,-7.56,26.95,21.51,-4.51,-0.79,4.58,0,-13.2,15.0,13.22,-23.2,13.0,-13.2,15.0,4,0,0,0.00,0.47,1.33,0.00,0
1,3,-7.89,26.89,21.42,-5.60,-1.19,5.73,0,-13.2,15.0,13.02,-23.2,13.0,-13.2,15.0,4,0,0,0.00,0.56,1.30,0.00,0
1,4,-8.28,26.79,21.33,-6.36,-1.90,6.64,0,-13.2,15.0,12.77,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.11,0.88,0.00,0
1,5,-8.69,26.64,21.22,-6.25,-2.54,6.75,0,-13.2,15.0,12.49,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.22,0.00,0.72,0
1,6,-9.07,26.46,21.13,-5.87,-3.10,6.63,0,-13.2,15.0,12.18,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.18,0.00,0.78,0
1,7,-9.44,26.24,21.04,-5.68,-3.81,6.84,0,-13.2,15.0,11.85,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.40,0.00,0.20,0
1,8,-9.79,25.97,20.95,-5.35,-4.42,6.94,0,-13.2,15.0,11.49,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.21,0.00,0.73,0
1,9,-10.12,25.66,20.86,-5.10,-5.11,7.22,0,-13.2,15.0,11.10,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.37,0.00,0.33,0
1,10,-10.44,25.31,20.84,-4.59,-5.76,7.37,0,-13.2,15.0,10.67,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.16,0.00,0.81,0
1,11,-10.70,24.92,20.84,-3.84,-6.28,7.36,1,-13.2,15.0,10.23,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.18,0.00,0.78,0
1,12,-10.93,24.50,20.84,-3.22,-6.93,7.64,1,-13.2,15.0,9.77,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.22,0.00,0.41,0
1,13,-11.11,24.03,20.84,-2.59,-7.59,8.02,1,-13.2,15.0,9.27,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.30,0.00,0.55,0
1,14,-11.27,23.52,20.84,-2.40,-8.32,8.66,1,-13.2,15.0,8.74,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.32,0.12,0.00,0
1,15,-11.41,22.96,20.84,-2.13,-9.03,9.28,1,-13.2,15.0,8.16,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.34,0.00,0.22,0
1,16,-11.53,22.36,20.84,-1.71,-9.67,9.82,1,-13.2,15.0,7.55,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.36,0.00,0.37,0
1,17,-11.64,21.72,20.84,-1.66,-10.28,10.42,1,-13.2,15.0,6.90,-23.2,13.0,-13.2,15.0,4,0,0,0.00,1.40,0.22,0.00,0
1,18,-11.76,21.04,20.84,-2.14,-10.71,10.92,1,-13.2,15.0,6.21,-13.2,3.0,-13.2,15.0,4,0,0,0.00,1.14,0.78,0.00,0
