round,dec,x,y,z,vx,vy,speed,on_floor,tx,ty,tdist,nx,ny,gx,gy,nvis,gem,fell,fwd,back,left,right,jump
1,1,-35.79,26.99,20.84,0.33,-0.31,0.46,1,-23.2,13.0,18.82,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.96,0.00,1.02,0
1,2,-35.74,26.95,20.84,1.03,-0.90,1.36,1,-23.2,13.0,18.76,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.88,0.00,1.10,0
1,3,-35.65,26.88,20.84,1.76,-1.45,2.27,1,-23.2,13.0,18.64,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.84,0.00,1.12,0
1,4,-35.51,26.76,20.84,2.51,-1.95,3.18,1,-23.2,13.0,18.46,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.77,0.00,1.16,0
1,5,-35.32,26.63,20.84,3.35,-2.29,4.06,1,-23.2,13.0,18.23,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.52,0.00,1.29,0
1,6,-35.07,26.47,20.84,4.23,-2.55,4.94,1,-23.2,13.0,17.95,-13.2,15.0,-24.7,23.5,4,0,0,0.00,0.46,0.00,1.29,0
1,7,-34.77,26.32,20.84,4.95,-2.16,5.40,1,-23.2,13.0,17.64,-13.2,15.0,-24.7,24.5,4,0,0,0.63,0.00,0.00,1.21,0
1,8,-34.43,26.18,20.84,5.79,-2.13,6.17,1,-23.2,13.0,17.32,-13.2,15.0,-24.7,24.5,4,0,0,0.00,0.32,0.00,1.32,0
1,9,-34.03,26.06,20.84,6.49,-1.68,6.70,1,-23.2,13.0,16.97,-13.2,15.0,-24.7,24.5,4,0,0,0.66,0.00,0.00,1.21,0
1,10,-33.59,25.96,20.84,7.27,-1.39,7.40,1,-23.2,13.0,16.61,-13.2,15.0,-24.7,24.5,4,0,0,0.10,0.00,0.00,1.37,0
1,11,-33.10,25.89,20.84,7.98,-0.91,8.03,1,-23.2,13.0,16.25,-13.2,15.0,-24.7,24.5,4,0,0,0.53,0.00,0.00,1.23,0
1,12,-32.56,25.85,20.84,8.68,-0.56,8.69,1,-23.2,13.0,15.90,-13.2,15.0,-24.7,24.5,4,0,0,0.26,0.00,0.00,1.37,0
1,13,-31.98,25.82,20.84,9.31,-0.14,9.31,1,-23.2,13.0,15.54,-13.2,15.0,-24.7,24.5,4,0,0,0.49,0.00,0.00,1.32,0
1,14,-31.37,25.81,20.84,9.80,-0.52,9.82,1,-23.2,13.0,15.19,-13.2,15.0,-24.7,24.5,4,0,0,0.00,0.74,0.00,1.18,0
1,15,-30.72,25.76,20.84,10.38,-0.72,10.41,1,-23.2,13.0,14.82,-13.2,15.0,-24.7,24.5,4,0,0,0.00,0.10,0.00,1.35,0
1,16,-30.04,25.73,20.84,10.78,-0.13,10.78,1,-23.2,13.0,14.46,-13.2,15.0,-24.7,24.5,4,0,0,0.86,0.00,0.00,1.13,0
1,17,-29.35,25.76,20.84,10.57,0.68,10.60,1,-23.2,13.0,14.16,-13.2,15.0,-24.7,24.5,4,0,0,1.41,0.00,0.00,0.12,0
1,18,-28.70,25.80,20.84,9.93,0.48,9.94,1,-23.2,13.0,13.93,-13.2,15.0,-24.7,24.5,4,0,0,0.00,1.06,0.78,0.00,0
1,19,-28.09,25.81,20.84,9.17,-0.02,9.17,1,-23.2,13.0,13.71,-13.2,15.0,-24.7,24.5,4,0,0,0.00,1.03,0.97,0.00,0
1,20,-27.53,25.81,20.84,8.32,0.07,8.33,1,-23.2,13.0,13.52,-13.2,15.0,-24.7,24.5,4,0,0,0.61,0.00,1.28,0.00,0
1,21,-27.03,25.81,20.84,7.51,-0.19,7.51,1,-23.2,13.0,13.37,-13.2,15.0,-24.7,24.5,4,0,0,0.00,0.87,1.00,0.00,0
1,22,-26.57,25.77,20.84,6.93,-0.87,6.98,1,-23.2,13.0,13.21,-13.2,15.0,-24.7,24.5,4,0,0,0.00,1.25,0.33,0.00,0
1,23,-26.05,25.67,20.84,6.08,-1.60,6.29,1,-23.2,13.0,12.99,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.99,1.01,0.00,0
1,24,-25.69,25.56,20.84,5.21,-1.67,5.47,1,-23.2,13.0,12.81,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.00,1.41,0.00,0
1,25,-25.39,25.44,20.84,4.41,-2.04,4.86,1,-23.2,13.0,12.64,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.93,0.88,0.00,0
1,26,-25.13,25.30,20.84,3.65,-2.53,4.44,1,-23.2,13.0,12.45,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.97,0.99,0.00,0
1,27,-24.93,25.12,20.84,2.89,-3.03,4.19,1,-23.2,13.0,12.24,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.00,0.95,0.00,0
1,28,-24.77,24.90,20.84,2.14,-3.55,4.15,1,-23.2,13.0,12.01,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.97,0.92,0.00,0
1,29,-24.66,24.66,20.84,1.35,-3.99,4.21,1,-23.2,13.0,11.75,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.83,1.00,0.00,0
1,30,-24.61,24.39,20.84,0.51,-4.34,4.37,1,-23.2,13.0,11.48,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.73,1.06,0.00,0
1,31,-24.60,24.10,20.84,-0.32,-4.73,4.74,1,-23.2,13.0,11.19,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.80,1.00,0.00,0
1,32,-24.65,23.79,20.84,-1.17,-5.04,5.17,1,-23.2,13.0,10.88,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.68,1.09,0.00,0
1,33,-24.75,23.44,20.84,-1.59,-5.74,5.96,1,-23.2,13.0,10.56,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.27,0.38,0.00,0
1,34,-24.84,23.05,20.84,-1.19,-6.46,6.57,1,-23.2,13.0,10.18,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.26,0.00,0.64,0
1,35,-24.91,22.61,20.84,-1.28,-7.21,7.32,1,-23.2,13.0,9.76,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.34,0.43,0.00,0
1,36,-25.02,22.13,20.84,-1.91,-7.69,7.93,1,-23.2,13.0,9.31,-13.2,15.0,-23.2,13.0,4,0,0,0.00,0.94,0.91,0.00,0
1,37,-25.14,21.61,20.84,-1.80,-8.31,8.51,1,-23.2,13.0,8.83,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.37,0.00,0.28,0
1,38,-25.23,21.06,20.84,-1.07,-8.72,8.79,1,-23.2,13.0,8.32,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.01,0.00,0.99,0
1,39,-25.30,20.49,20.84,-1.31,-9.18,9.28,1,-23.2,13.0,7.78,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.20,0.75,0.00,0
1,40,-25.40,19.91,20.84,-1.73,-8.68,8.85,1,-23.2,13.0,7.26,-13.2,15.0,-23.2,13.0,4,0,0,1.06,0.00,0.84,0.00,0
1,41,-25.52,19.39,20.84,-1.79,-7.79,7.99,1,-23.2,13.0,6.80,-13.2,15.0,-23.2,13.0,4,0,0,1.30,0.00,0.05,0.00,0
1,42,-25.62,18.89,20.84,-1.22,-7.94,8.03,1,-23.2,13.0,6.37,-13.2,15.0,-23.2,13.0,4,0,0,0.00,1.10,0.00,0.71,0
1,43,-25.67,18.37,20.84,-0.39,-8.25,8.26,1,-23.2,13.0,5.91,-13.2,15.0,-22.7,12.5,4,0,0,0.00,0.92,0.00,1.06,0
1,44,-25.66,17.85,20.84,0.28,-7.81,7.82,1,-23.2,13.0,5.44,-13.2,15.0,-22.7,13.5,4,0,0,0.76,0.00,0.00,1.18,0
1,45,-25.61,17.27,20.84,0.92,-6.88,6.94,1,-23.2,13.0,4.90,-13.2,15.0,-22.7,14.5,4,0,0,1.02,0.00,0.00,0.90,0
1,46,-25.54,16.83,20.84,1.32,-7.19,7.31,1,-23.2,13.0,4.48,-13.2,15.0,-22.7,14.5,4,0,0,0.00,1.21,0.00,0.49,0
1,47,-25.44,16.37,20.84,1.74,-6.76,6.98,1,-23.2,13.0,4.05,-13.2,15.0,-22.7,15.5,4,0,0,1.00,0.00,0.00,0.97,0
1,48,-25.31,15.97,20.84,2.23,-5.99,6.39,1,-23.2,13.0,3.64,-13.2,15.0,-22.7,15.5,4,0,0,0.93,0.00,0.00,1.06,0
1,49,-25.13,15.51,20.77,2.14,-5.66,6.05,0,-23.2,13.0,3.16,-13.2,15.0,-26.7,14.5,4,0,0,0.84,0.00,1.12,0.00,0
1,50,-24.96,15.07,20.57,2.20,-5.31,5.75,0,-23.2,13.0,2.72,-13.2,15.0,-22.7,14.5,4,0,0,0.98,0.00,0.00,1.01,0
1,51,-24.81,14.74,20.32,2.50,-5.01,5.60,0,-23.2,13.0,2.37,-13.2,15.0,-22.7,14.5,4,0,0,0.99,0.00,0.00,1.01,0
1,52,-24.89,14.47,20.45,-0.96,-2.54,2.72,0,-23.2,13.0,2.24,-13.2,15.0,-23.7,12.5,4,0,0,0.00,0.99,0.00,1.01,0
1,53,-24.94,14.31,20.60,-0.62,-2.27,2.36,0,-23.2,13.0,2.18,-25.2,3.0,-23.7,12.5,4,0,0,0.00,1.18,0.00,0.78,0
1,54,-24.97,14.18,20.74,-0.34,-2.04,2.06,0,-23.2,13.0,2.12,-25.2,3.0,-23.7,12.5,4,0,0,0.00,1.11,0.00,0.88,0
1,55,-24.98,14.05,20.85,-0.14,-2.18,2.18,0,-23.2,13.0,2.07,-25.2,3.0,-23.7,12.5,4,0,0,0.00,1.31,0.00,0.54,0
1,56,-24.98,13.89,20.87,0.02,-2.57,2.57,0,-23.2,13.0,2.00,-25.2,3.0,-23.7,12.5,4,0,0,0.00,1.31,0.00,0.53,0
1,57,-24.97,13.72,20.84,0.44,-2.88,2.91,1,-23.2,13.0,1.91,-25.2,3.0,-23.2,13.0,4,0,0,0.88,0.00,0.00,1.11,0
1,58,-24.91,13.54,20.84,1.22,-2.70,2.96,1,-23.2,13.0,1.80,-25.2,3.0,-23.2,13.0,4,0,0,0.96,0.00,0.00,1.03,0
1,59,-24.81,13.39,20.84,1.85,-2.03,2.75,1,-23.2,13.0,1.66,-25.2,3.0,-23.2,13.0,4,0,0,0.86,0.00,0.00,1.12,0
1,60,-24.67,13.27,20.84,2.65,-1.66,3.13,1,-23.2,13.0,1.49,-25.2,3.0,-23.2,13.0,4,0,0,0.28,0.00,0.00,1.39,0
1,61,-24.49,13.19,20.84,2.73,-0.92,2.88,1,-23.2,13.0,1.30,-25.2,3.0,-23.2,13.0,4,0,0,1.41,0.00,0.10,0.00,0
1,62,-24.31,13.16,20.84,3.03,-0.10,3.03,1,-23.2,13.0,1.12,-25.2,3.0,-23.2,13.0,4,0,0,1.10,0.00,0.00,0.85,0
1,63,-24.09,13.16,20.84,3.80,-0.06,3.80,1,-23.2,13.0,0.90,-25.2,3.0,-23.2,13.0,4,0,0,0.00,0.27,0.00,1.38,0
1,64,-23.85,13.17,20.84,3.56,0.39,3.58,1,-23.2,13.0,0.67,-25.2,3.0,-23.2,13.0,4,1,0,1.17,0.00,0.79,0.00,0
