round,dec,x,y,z,vx,vy,speed,on_floor,tx,ty,tdist,nx,ny,gx,gy,nvis,gem,fell,fwd,back,left,right,jump
1,1,-7.35,3.00,21.56,-3.65,0.19,3.65,0,-13.2,15.0,13.35,-23.2,17.0,-13.2,15.0,4,0,0,0.51,0.00,1.31,0.00,0
1,2,-7.62,3.03,21.49,-4.63,0.74,4.69,0,-13.2,15.0,13.20,-23.2,17.0,-13.2,15.0,4,0,0,0.82,0.00,1.15,0.00,0
1,3,-7.93,3.11,21.41,-4.83,1.50,5.05,0,-13.2,15.0,13.01,-23.2,17.0,-13.2,15.0,4,0,0,1.40,0.00,0.00,0.21,0
1,4,-8.25,3.23,21.33,-5.23,2.33,5.73,0,-13.2,15.0,12.77,-23.2,17.0,-13.2,15.0,4,0,0,1.22,0.00,0.70,0.00,0
1,5,-8.59,3.41,21.25,-5.48,3.20,6.34,0,-13.2,15.0,12.47,-23.2,17.0,-13.2,15.0,4,0,0,1.39,0.00,0.18,0.00,0
1,6,-8.94,3.65,21.16,-5.40,3.98,6.71,0,-13.2,15.0,12.12,-23.2,17.0,-13.2,15.0,4,0,0,1.37,0.00,0.00,0.27,0
1,7,-9.27,3.91,21.08,-4.93,4.04,6.37,0,-13.2,15.0,11.76,-23.2,17.0,-13.2,15.0,4,0,0,0.00,0.06,0.00,1.40,0
1,8,-9.57,4.17,21.00,-4.42,4.29,6.16,0,-13.2,15.0,11.42,-23.2,17.0,-13.2,15.0,4,0,0,0.98,0.00,0.00,1.01,0
1,9,-9.84,4.46,20.94,-3.93,4.69,6.12,0,-13.2,15.0,11.06,-23.2,17.0,-13.2,15.0,4,0,0,0.98,0.00,0.00,1.00,0
1,10,-10.07,4.78,20.88,-3.44,5.08,6.13,0,-13.2,15.0,10.69,-23.2,17.0,-13.2,15.0,4,0,0,0.99,0.00,0.00,1.01,0
1,11,-10.28,5.12,20.84,-3.09,5.76,6.54,0,-13.2,15.0,10.30,-23.2,17.0,-13.2,15.0,4,0,0,1.31,0.00,0.00,0.51,0
1,12,-10.48,5.52,20.84,-3.26,6.48,7.25,1,-13.2,15.0,9.87,-23.2,17.0,-13.2,15.0,4,0,0,1.24,0.00,0.68,0.00,0
1,13,-10.71,5.95,20.84,-3.89,6.98,7.99,1,-13.2,15.0,9.39,-23.2,17.0,-13.2,15.0,4,0,0,0.95,0.00,1.02,0.00,0
