step,seg,elapsed_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
0,0,283.13,0.00,0.00,0.56,0.00,0.00,0.00,1,0.87,0.00,0.09,0.00,1,0,0,-0.02,0,,36.5
1,0,283.07,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.30,0.79,0.00,0,0,0,-0.02,0,,36.5
2,0,283.00,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.64,0.57,0.00,0,0,0,-0.02,0,,36.5
3,0,282.94,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.51,0.80,0.00,0,0,0,-0.02,0,,36.5
4,0,282.88,0.00,0.00,0.56,0.00,0.00,0.00,1,0.88,0.00,0.01,0.00,0,0,0,-0.02,0,,36.5
5,0,282.81,0.00,0.00,0.56,0.00,0.00,0.00,1,0.93,0.00,0.19,0.00,0,0,0,-0.02,0,,36.5
6,0,282.75,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.20,0.00,0.89,0,0,0,-0.02,0,,36.5
7,0,282.68,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.22,0.00,0.85,0,0,0,-0.02,0,,36.5
8,0,282.62,0.00,0.00,0.56,0.00,0.00,0.00,1,0.69,0.00,0.00,0.58,0,0,0,-0.02,0,,36.5
9,0,282.55,0.00,0.00,0.56,0.00,0.00,0.00,1,0.92,0.00,0.21,0.00,0,0,0,-0.02,0,,36.5
10,0,282.49,0.00,0.00,0.56,0.00,0.00,0.00,1,0.81,0.00,0.27,0.00,1,0,0,-0.02,0,,36.5
11,0,282.43,0.00,0.00,0.56,0.00,0.00,0.00,1,0.41,0.00,0.00,0.81,0,0,0,-0.02,0,,36.5
12,0,282.36,0.00,0.00,0.56,0.00,0.00,0.00,1,0.18,0.00,0.00,0.93,0,0,0,-0.02,0,,36.5
13,0,282.30,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.19,0.90,0.00,0,0,0,-0.02,0,,36.5
14,0,282.23,-0.00,0.00,0.78,-0.02,0.11,6.86,1,0.37,0.00,0.12,0.00,0,1,0,-0.02,0,,36.5
15,0,282.17,-0.01,0.00,1.17,-0.23,-0.05,5.60,0,0.00,0.65,0.62,0.00,0,0,0,-0.12,0,,36.5
16,0,282.11,-0.02,0.01,1.48,-0.23,0.14,4.34,0,0.86,0.00,0.09,0.00,0,0,0,-0.12,0,,36.5
17,0,282.04,-0.03,0.02,1.71,-0.05,0.19,3.08,0,0.45,0.00,0.78,0.00,1,0,0,-0.12,0,,36.5
18,0,281.99,-0.03,0.03,1.84,0.12,0.28,2.06,0,0.00,0.90,0.00,0.03,0,0,0,-0.12,0,,36.5
19,0,281.96,-0.03,0.04,1.89,0.05,0.29,1.46,0,0.82,0.00,0.00,0.38,0,0,0,-0.12,0,,36.5
20,0,281.93,-0.03,0.05,1.93,-0.02,0.24,0.80,0,0.00,0.08,0.87,0.00,1,0,0,-0.12,0,,36.5
21,0,281.90,-0.03,0.06,1.94,-0.07,0.34,0.14,0,0.85,0.00,0.00,0.30,1,0,0,-0.12,0,,36.5
22,0,281.87,-0.03,0.07,1.94,-0.10,0.26,-0.46,0,0.36,0.00,0.85,0.00,0,0,0,-0.12,0,,36.5
23,0,281.83,-0.03,0.08,1.91,-0.12,0.31,-1.12,0,0.21,0.00,0.85,0.00,0,0,0,-0.12,0,,36.5
24,0,281.80,-0.04,0.09,1.86,-0.18,0.36,-1.78,0,0.00,0.90,0.02,0.00,1,0,0,-0.12,0,,36.5
25,0,281.77,-0.05,0.10,1.80,-0.30,0.41,-2.38,0,0.01,0.00,0.00,0.88,0,0,0,-0.12,0,,36.5
26,0,281.74,-0.06,0.11,1.71,-0.33,0.35,-3.04,0,0.10,0.00,0.94,0.00,1,0,0,-0.12,0,,36.5
27,0,281.70,-0.07,0.12,1.60,-0.41,0.36,-3.70,0,0.00,0.76,0.00,0.50,0,0,0,-0.12,0,,36.5
28,0,281.68,-0.08,0.13,1.47,-0.40,0.29,-4.30,0,0.61,0.00,0.62,0.00,0,0,0,0.29,0,,36.0
29,0,281.64,-0.10,0.14,1.32,-0.51,0.35,-4.96,0,0.00,0.25,0.86,0.00,0,0,0,-0.12,0,,36.0
30,0,281.61,-0.12,0.15,1.15,-0.63,0.28,-5.62,0,0.00,0.90,0.05,0.00,0,0,0,-0.12,0,,36.0
31,0,281.58,-0.14,0.16,0.97,-0.62,0.15,-6.22,0,0.00,0.60,0.00,0.61,0,0,0,0.88,0,,35.0
32,0,281.55,-0.15,0.16,0.75,-0.52,0.06,-6.88,0,0.00,0.12,0.00,0.93,0,0,0,-0.12,0,,35.0
33,0,281.51,-0.17,0.16,0.59,-0.86,-0.16,3.54,0,0.00,0.18,0.88,0.00,0,0,0,-0.12,0,,35.0
34,0,281.48,-0.20,0.16,0.69,-0.99,-0.17,2.94,0,0.60,0.00,0.64,0.00,0,0,0,-0.12,0,,35.0
35,0,281.45,-0.23,0.15,0.77,-1.10,-0.08,2.28,0,0.17,0.00,0.00,0.99,0,1,0,-0.12,0,,35.0
36,0,281.42,-0.27,0.15,0.84,-0.98,-0.07,1.62,0,0.00,0.46,0.00,0.77,0,0,0,-0.12,0,,35.0
37,0,281.39,-0.30,0.15,0.87,-0.90,-0.16,1.02,0,0.00,0.77,0.00,0.31,1,0,0,-0.12,0,,35.0
38,0,281.35,-0.33,0.14,0.90,-0.84,-0.29,0.36,0,0.00,0.78,0.00,0.51,0,0,0,-0.12,0,,35.0
39,0,281.32,-0.35,0.13,0.90,-0.75,-0.41,-0.30,0,0.00,0.29,0.00,0.83,1,0,0,-0.12,0,,35.0
40,0,281.29,-0.37,0.12,0.88,-0.63,-0.48,-0.90,0,0.00,0.52,0.00,0.74,1,0,0,-0.53,0,,35.5
41,0,281.26,-0.39,0.10,0.83,-0.52,-0.53,-1.56,0,0.60,0.00,0.00,0.80,1,1,0,-0.12,0,,35.5
42,0,281.23,-0.41,0.08,0.77,-0.40,-0.44,-2.22,0,0.72,0.00,0.00,0.70,0,1,0,-0.12,0,,35.5
43,0,281.19,-0.42,0.07,0.69,-0.30,-0.34,-2.82,0,0.64,0.00,0.00,0.59,0,0,0,-0.12,0,,35.5
44,0,281.16,-0.42,0.06,0.59,-0.26,-0.22,-3.48,0,0.82,0.00,0.31,0.00,0,0,0,-0.12,0,,35.5
45,0,281.13,-0.39,0.06,0.60,1.24,0.01,1.27,0,0.00,0.92,0.00,0.11,1,0,0,-0.12,0,,35.5
46,0,281.10,-0.36,0.06,0.63,1.26,-0.03,0.67,0,0.84,0.00,0.00,0.28,0,0,0,-0.12,0,,35.5
47,0,281.07,-0.31,0.06,0.64,1.30,0.00,0.01,0,0.00,0.83,0.00,0.25,0,0,0,-0.12,0,,35.5
48,0,281.03,-0.27,0.06,0.63,1.35,-0.14,-0.65,1,0.00,0.80,0.00,0.42,0,0,0,-0.02,0,,35.5
49,0,281.00,-0.23,0.05,0.60,1.41,-0.26,-1.25,0,0.00,0.19,0.84,0.00,0,0,0,-0.12,0,,35.5
50,0,280.97,-0.19,0.04,0.57,0.56,-0.79,0.67,0,0.00,0.72,0.60,0.00,0,0,0,-0.12,0,,35.5
51,0,280.94,-0.18,0.01,0.58,0.48,-0.91,0.01,0,0.00,0.82,0.00,0.30,0,0,0,-0.12,0,,35.5
52,0,280.91,-0.16,-0.02,0.57,0.50,-1.04,-0.59,1,0.00,0.81,0.07,0.00,0,0,0,-0.02,0,,35.5
53,0,280.87,-0.15,-0.06,0.57,0.41,-1.35,-0.11,0,0.89,0.00,0.29,0.00,0,0,0,-0.12,0,,35.5
54,0,280.84,-0.13,-0.10,0.56,0.32,-1.16,0.00,1,0.00,0.93,0.00,0.06,0,0,0,-0.02,0,,35.5
55,0,280.81,-0.12,-0.14,0.56,0.27,-1.39,0.00,1,0.71,0.00,0.50,0.00,0,0,0,-1.02,0,,36.5
56,0,280.78,-0.12,-0.18,0.56,0.15,-0.98,0.00,1,0.89,0.00,0.00,0.29,0,0,0,-0.02,0,,36.5
57,0,280.75,-0.11,-0.21,0.56,0.21,-0.53,0.00,1,0.86,0.00,0.30,0.00,0,0,0,-0.02,0,,36.5
58,0,280.71,-0.11,-0.22,0.61,0.08,-0.24,7.34,1,0.00,0.42,0.83,0.00,1,0,0,-0.02,0,,36.5
59,0,280.68,-0.11,-0.23,0.84,-0.04,-0.30,6.68,0,0.53,0.00,0.00,0.73,1,0,0,-0.12,0,,36.5
60,0,280.65,-0.11,-0.23,1.05,0.07,-0.25,6.02,0,0.00,0.74,0.00,0.48,0,0,0,-0.12,0,,36.5
61,0,280.62,-0.10,-0.24,1.22,0.10,-0.37,5.42,0,0.00,0.87,0.03,0.00,1,0,0,-0.12,0,,36.5
62,0,280.59,-0.10,-0.26,1.38,0.08,-0.41,4.76,0,0.96,0.00,0.27,0.00,0,1,0,-0.12,0,,36.5
63,0,280.55,-0.10,-0.27,1.53,0.11,-0.37,4.10,0,0.00,0.50,0.00,0.80,1,0,0,-0.12,0,,36.5
64,0,280.52,-0.09,-0.28,1.64,0.22,-0.45,3.50,0,0.00,0.56,0.00,0.77,0,0,0,-0.12,0,,36.5
65,0,280.49,-0.08,-0.30,1.75,0.34,-0.54,2.84,0,0.00,0.86,0.00,0.22,1,0,0,-0.12,0,,36.5
66,0,280.46,-0.07,-0.32,1.83,0.38,-0.68,2.18,0,0.83,0.00,0.24,0.00,0,0,0,-0.12,0,,36.5
67,0,280.43,-0.06,-0.34,1.88,0.35,-0.59,1.58,0,0.44,0.00,0.74,0.00,0,0,0,-0.12,0,,36.5
68,0,280.39,-0.05,-0.36,1.92,0.28,-0.51,0.92,0,0.50,0.00,0.00,0.76,0,0,0,-0.12,0,,36.5
69,0,280.36,-0.04,-0.37,1.94,0.40,-0.43,0.26,0,0.74,0.00,0.00,0.57,0,0,0,-0.12,0,,36.5
70,0,280.33,-0.03,-0.38,1.94,0.48,-0.33,-0.34,0,0.54,0.00,0.78,0.00,1,0,0,-0.12,0,,36.5
71,0,280.30,-0.01,-0.39,1.92,0.38,-0.28,-1.00,0,0.00,0.76,0.40,0.00,0,0,0,-0.12,0,,36.5
72,0,280.26,-0.00,-0.40,1.87,0.33,-0.36,-1.66,0,0.85,0.00,0.00,0.20,1,0,0,-0.12,0,,36.5
73,0,280.24,0.01,-0.41,1.81,0.34,-0.24,-2.26,0,0.85,0.00,0.28,0.00,0,0,0,-0.12,0,,36.5
74,0,280.20,0.02,-0.42,1.73,0.29,-0.11,-2.92,0,0.84,0.00,0.38,0.00,0,0,0,-0.12,0,,36.5
75,0,280.17,0.03,-0.42,1.62,0.25,0.01,-3.58,0,0.36,0.00,0.00,0.86,0,0,0,-0.12,0,,36.5
76,0,280.14,0.04,-0.42,1.50,0.37,0.05,-4.18,0,0.20,0.00,0.00,0.90,0,0,0,-0.12,0,,36.5
77,0,280.11,0.05,-0.42,1.35,0.41,0.08,-4.84,0,0.19,0.00,0.85,0.00,1,0,0,-0.12,0,,36.5
78,0,280.07,0.06,-0.41,1.18,0.32,0.11,-5.50,0,0.00,0.00,0.00,0.91,0,0,0,-0.12,0,,36.5
79,0,280.04,0.07,-0.41,1.00,0.44,0.09,-6.10,0,0.00,0.78,0.00,0.46,0,0,0,-0.12,0,,36.5
80,0,280.01,0.09,-0.41,0.79,0.54,0.01,-6.76,0,0.16,0.00,0.00,0.91,1,0,0,-0.12,0,,36.5
81,0,279.98,0.11,-0.41,0.57,1.33,0.64,3.66,0,0.49,0.00,0.68,0.00,0,0,0,-0.12,0,,36.5
82,0,279.95,0.15,-0.39,0.67,1.23,0.70,3.06,0,0.47,0.00,0.81,0.00,0,0,0,-0.12,0,,36.5
83,0,279.91,0.19,-0.36,0.76,1.15,0.77,2.40,0,0.14,0.00,0.00,0.92,1,0,0,-0.12,0,,36.5
84,0,279.88,0.23,-0.34,0.83,1.15,0.80,1.74,0,0.26,0.00,0.91,0.00,1,0,0,-0.12,0,,36.5
85,0,279.85,0.26,-0.31,0.87,1.01,0.83,1.14,0,0.00,0.81,0.00,0.44,0,0,0,-0.12,0,,36.5
86,0,279.82,0.29,-0.29,0.89,0.99,0.76,0.48,0,0.00,0.02,0.84,0.00,0,0,0,-0.12,0,,36.5
87,0,279.79,0.32,-0.26,0.90,0.84,0.75,-0.18,0,0.00,0.19,0.89,0.00,0,0,0,-0.12,0,,36.5
88,0,279.75,0.35,-0.24,0.88,0.74,0.74,-0.78,1,0.67,0.00,0.00,0.59,0,0,0,-0.02,0,,36.5
89,0,279.72,0.37,-0.21,0.84,0.80,0.75,-1.44,0,0.00,0.92,0.00,0.00,0,0,0,-0.12,0,,36.5
90,0,279.69,0.40,-0.19,0.78,0.77,0.61,-2.10,0,0.00,0.80,0.33,0.00,0,0,0,-0.12,0,,36.5
91,0,279.66,0.42,-0.17,0.71,0.72,0.48,-2.70,0,0.00,0.88,0.00,0.00,0,0,0,-0.12,0,,36.5
92,0,279.63,0.44,-0.16,0.61,0.73,0.33,-3.36,0,0.00,0.89,0.00,0.20,0,0,0,-0.12,0,,36.5
93,0,279.59,0.44,-0.18,0.60,-0.61,-0.92,1.39,0,0.22,0.00,0.00,0.87,0,0,0,-0.12,0,,36.5
94,0,279.56,0.42,-0.20,0.63,-0.51,-0.92,0.79,0,0.00,0.87,0.00,0.07,0,0,0,-0.12,0,,36.5
95,0,279.53,0.41,-0.24,0.64,-0.52,-1.06,0.13,0,0.00,0.48,0.75,0.00,0,0,0,-0.12,0,,36.5
96,0,279.50,0.39,-0.27,0.63,-0.66,-1.14,-0.53,1,0.00,0.58,0.68,0.00,0,0,0,-0.02,0,,36.5
