step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
0,0,299.13,0.00,0.00,0.56,0.00,0.00,0.00,1,0.87,0.00,0.09,0.00,1,0,0,-0.02,0,,36.5
1,0,299.07,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.30,0.79,0.00,0,0,0,-0.02,0,,36.5
2,0,299.00,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.64,0.57,0.00,0,0,0,-0.02,0,,36.5
3,0,298.94,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.51,0.80,0.00,0,0,0,-0.02,0,,36.5
4,0,298.88,0.00,0.00,0.56,0.00,0.00,0.00,1,0.88,0.00,0.01,0.00,0,0,0,-0.02,0,,36.5
5,0,298.81,0.00,0.00,0.56,0.00,0.00,0.00,1,0.93,0.00,0.19,0.00,0,0,0,-0.02,0,,36.5
6,0,298.75,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.20,0.00,0.89,0,0,0,-0.02,0,,36.5
7,0,298.68,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.22,0.00,0.85,0,0,0,-0.02,0,,36.5
8,0,298.62,0.00,0.00,0.56,0.00,0.00,0.00,1,0.69,0.00,0.00,0.58,0,0,0,-0.02,0,,36.5
9,0,298.55,0.00,0.00,0.56,0.00,0.00,0.00,1,0.92,0.00,0.21,0.00,0,0,0,-0.02,0,,36.5
10,0,298.49,0.00,0.00,0.56,0.00,0.00,0.00,1,0.81,0.00,0.27,0.00,1,0,0,-0.02,0,,36.5
11,0,298.43,0.00,0.00,0.56,0.00,0.00,0.00,1,0.41,0.00,0.00,0.81,0,0,0,-0.02,0,,36.5
12,0,298.36,0.00,0.00,0.56,0.00,0.00,0.00,1,0.18,0.00,0.00,0.93,0,0,0,-0.02,0,,36.5
13,0,298.30,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.19,0.90,0.00,0,0,0,-0.02,0,,36.5
14,0,298.23,0.00,0.00,0.56,0.00,0.00,0.00,1,0.37,0.00,0.12,0.00,0,1,0,-0.02,0,,36.5
15,0,298.17,-0.00,0.01,0.97,-0.08,0.16,6.26,1,0.00,0.64,0.63,0.00,0,0,0,-0.02,0,,36.5
16,0,298.11,-0.01,0.01,1.33,-0.32,-0.00,5.00,0,0.86,0.00,0.09,0.00,0,0,0,-0.12,0,,36.5
17,0,298.04,-0.04,0.02,1.61,-0.37,0.27,3.68,0,0.45,0.00,0.78,0.00,1,0,0,-0.12,0,,36.5
18,0,297.98,-0.05,0.04,1.80,-0.12,0.20,2.42,0,0.00,0.90,0.00,0.03,0,0,0,-0.12,0,,36.5
19,0,297.92,-0.05,0.05,1.91,-0.05,0.42,1.16,0,0.82,0.00,0.00,0.38,0,0,0,-0.12,0,,36.5
20,0,297.85,-0.06,0.09,1.94,0.10,0.57,-0.16,0,0.00,0.08,0.87,0.00,1,0,0,-0.12,0,,36.5
21,0,297.79,-0.05,0.12,1.89,0.06,0.55,-1.42,0,0.85,0.00,0.00,0.30,1,0,0,-0.12,0,,36.5
22,0,297.72,-0.05,0.16,1.76,-0.13,0.62,-2.68,0,0.36,0.00,0.85,0.00,0,0,0,0.29,0,,36.0
