wall,step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
0.3,153600,0,299.26,0.00,0.00,0.56,0.00,0.00,0.00,1,0.84,0.00,0.26,0.00,0,0,0,-0.02,0,,36.5
0.3,153601,0,299.19,0.00,0.00,0.56,0.00,0.00,0.00,1,0.36,0.00,0.77,0.00,0,0,0,-0.02,0,,36.5
0.3,153602,0,299.13,0.00,0.00,0.56,0.00,0.00,0.00,1,0.02,0.00,0.86,0.00,0,0,0,-0.02,0,,36.5
0.3,153603,0,299.07,0.00,0.00,0.56,0.00,0.00,0.00,1,0.00,0.16,0.93,0.00,0,0,0,-0.02,0,,36.5
0.4,153604,0,299.00,0.00,0.00,0.56,0.00,0.00,0.00,1,0.85,0.00,0.23,0.00,0,0,0,-0.02,0,,36.5
0.4,153605,0,298.94,0.00,0.00,0.56,0.00,0.00,0.00,1,0.85,0.00,0.41,0.00,0,0,0,-0.02,0,,36.5
0.4,153606,0,298.88,0.00,0.00,0.56,0.00,0.00,0.00,1,0.83,0.00,0.37,0.00,0,0,0,-0.02,0,,36.5
0.4,153607,0,298.81,0.00,0.00,0.56,0.00,0.00,0.00,1,0.87,0.00,0.14,0.00,0,0,0,-0.02,0,,36.5
0.4,153608,0,298.75,0.00,0.00,0.56,0.00,0.00,0.00,1,0.77,0.00,0.46,0.00,0,0,0,-0.02,0,,36.5
0.4,153609,0,298.68,0.00,0.00,0.56,0.00,0.00,0.00,1,0.86,0.00,0.40,0.00,0,0,0,-0.02,0,,36.5
0.4,153610,0,298.62,0.00,0.00,0.56,0.00,0.00,0.00,1,0.74,0.00,0.44,0.00,0,0,0,-0.02,0,,36.5
0.4,153611,0,298.55,0.00,0.00,0.56,0.00,0.00,0.00,1,0.90,0.00,0.09,0.00,0,0,0,-0.02,0,,36.5
0.4,153612,0,298.49,0.00,0.00,0.56,0.00,0.00,0.00,1,0.84,0.00,0.44,0.00,0,0,0,-0.02,0,,36.5
0.4,153613,0,298.43,0.00,0.00,0.56,0.00,0.00,0.00,1,0.35,0.00,0.85,0.00,0,0,0,-0.02,0,,36.5
0.4,153614,0,298.36,0.00,0.00,0.56,0.00,0.00,0.00,1,0.56,0.00,0.32,0.00,0,1,0,-0.02,0,,36.5
0.4,153615,0,298.30,-0.01,0.02,0.56,-0.48,0.45,0.00,1,0.58,0.00,0.70,0.00,0,0,0,-0.02,0,,36.5
0.4,153616,0,298.23,-0.07,0.05,0.56,-1.18,0.53,0.00,1,0.78,0.00,0.39,0.00,0,0,0,-0.02,0,,36.5
0.4,153617,0,298.17,-0.15,0.10,0.56,-1.44,1.23,0.00,1,0.54,0.00,0.72,0.00,1,0,0,0.98,0,,35.5
0.4,153618,0,298.11,-0.26,0.20,0.56,-1.72,1.87,0.00,1,0.40,0.00,0.81,0.00,0,0,0,0.39,0,,35.0
0.4,153619,0,298.04,-0.39,0.34,0.56,-2.19,2.31,0.00,1,0.86,0.00,0.27,0.00,0,0,0,-0.02,0,,35.0
0.5,153620,0,297.98,-0.53,0.50,0.88,-2.43,2.54,6.52,1,0.31,0.00,0.82,0.00,0,0,0,-0.02,0,,35.0
0.5,153621,0,297.92,-0.69,0.67,1.25,-2.58,2.76,5.26,0,0.88,0.00,0.21,0.00,0,0,0,-0.12,0,,35.0
0.5,153622,0,297.85,-0.87,0.86,1.55,-2.79,2.95,3.94,0,0.49,0.00,0.79,0.00,0,0,0,-0.12,0,,35.0
0.5,153623,0,297.79,-1.05,1.04,1.75,-2.83,2.91,2.68,0,0.00,0.73,0.00,0.69,0,1,0,-0.12,0,,35.0
0.5,153624,0,297.72,-1.22,1.22,1.88,-2.84,2.76,1.42,0,0.00,0.04,0.91,0.00,0,0,0,1.29,0,,33.6
0.6,153625,0,297.66,-1.42,1.40,1.93,-3.09,2.85,0.10,0,0.74,0.00,0.50,0.00,0,0,0,-0.12,0,,33.6
