mode,speed,t,x,y,z,vx,vy,vz
hold,6.0,0.016,-12.0000,2.7650,20.8397,0.0000,7.4982,0.0000
hold,6.0,0.032,-12.0000,2.8823,20.8397,0.0000,7.2742,0.0000
hold,6.0,0.048,-12.0000,2.9989,20.9541,0.0000,7.3151,7.0691
hold,6.0,0.064,-12.0000,3.1173,21.0634,0.0000,7.4282,6.7491
hold,6.0,0.080,-12.0000,3.2375,21.1675,0.0000,7.5413,6.4291
hold,6.0,0.096,-12.0000,3.3595,21.2666,0.0000,7.6545,6.1091
hold,6.0,0.112,-12.0000,3.4834,21.3605,0.0000,7.7676,5.7891
hold,6.0,0.128,-12.0000,3.6090,21.4493,0.0000,7.8808,5.4691
hold,6.0,0.144,-12.0000,3.7364,21.5329,0.0000,7.9939,5.1491
hold,6.0,0.160,-12.0000,3.8657,21.6115,0.0000,8.1070,4.8291
hold,6.0,0.176,-12.0000,3.9968,21.6849,0.0000,8.2202,4.5091
hold,6.0,0.192,-12.0000,4.1297,21.7532,0.0000,8.3333,4.1891
hold,6.0,0.208,-12.0000,4.2643,21.8164,0.0000,8.4464,3.8691
hold,6.0,0.224,-12.0000,4.4008,21.8745,0.0000,8.5596,3.5491
hold,6.0,0.240,-12.0000,4.5392,21.9274,0.0000,8.6727,3.2291
hold,6.0,0.256,-12.0000,4.6793,21.9752,0.0000,8.7858,2.9091
hold,6.0,0.272,-12.0000,4.8212,22.0179,0.0000,8.8990,2.5891
hold,6.0,0.288,-12.0000,4.9650,22.0555,0.0000,9.0121,2.2691
hold,6.0,0.304,-12.0000,5.1105,22.0880,0.0000,9.1253,1.9491
hold,6.0,0.320,-12.0000,5.2579,22.1153,0.0000,9.2384,1.6291
hold,6.0,0.336,-12.0000,5.4070,22.1376,0.0000,9.3515,1.3091
hold,6.0,0.352,-12.0000,5.5580,22.1547,0.0000,9.4647,0.9891
hold,6.0,0.368,-12.0000,5.7108,22.1666,0.0000,9.5778,0.6691
hold,6.0,0.384,-12.0000,5.8654,22.1735,0.0000,9.6910,0.3491
hold,6.0,0.400,-12.0000,6.0218,22.1753,0.0000,9.8041,0.0291
hold,6.0,0.416,-12.0000,6.1800,22.1719,0.0000,9.9172,-0.2909
hold,6.0,0.432,-12.0000,6.3401,22.1634,0.0000,10.0304,-0.6109
hold,6.0,0.448,-12.0000,6.5019,22.1498,0.0000,10.1435,-0.9309
hold,6.0,0.464,-12.0000,6.6656,22.1310,0.0000,10.2566,-1.2509
hold,6.0,0.480,-12.0000,6.8310,22.1072,0.0000,10.3698,-1.5709
hold,6.0,0.496,-12.0000,6.9983,22.0782,0.0000,10.4829,-1.8909
hold,6.0,0.512,-12.0000,7.1674,22.0441,0.0000,10.5961,-2.2109
hold,6.0,0.528,-12.0000,7.3383,22.0049,0.0000,10.7092,-2.5309
hold,6.0,0.544,-12.0000,7.5110,21.9606,0.0000,10.8223,-2.8509
hold,6.0,0.560,-12.0000,7.6855,21.9111,0.0000,10.9355,-3.1709
hold,6.0,0.576,-12.0000,7.8618,21.8565,0.0000,11.0486,-3.4909
hold,6.0,0.592,-12.0000,8.0400,21.7968,0.0000,11.1617,-3.8109
hold,6.0,0.608,-12.0000,8.2199,21.7320,0.0000,11.2749,-4.1309
hold,6.0,0.624,-12.0000,8.4017,21.6621,0.0000,11.3880,-4.4509
hold,6.0,0.640,-12.0000,8.5852,21.5870,0.0000,11.5011,-4.7709
hold,6.0,0.656,-12.0000,8.7706,21.5069,0.0000,11.6143,-5.0909
hold,6.0,0.672,-12.0000,8.9578,21.4216,0.0000,11.7274,-5.4109
hold,6.0,0.688,-12.0000,9.1468,21.3312,0.0000,11.8406,-5.7309
hold,6.0,0.704,-12.0000,9.3376,21.2356,0.0000,11.9537,-6.0509
hold,6.0,0.720,-12.0000,9.5302,21.1350,0.0000,12.0668,-6.3709
hold,6.0,0.736,-12.0000,9.7247,21.0292,0.0000,12.1800,-6.6909
