update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
83411,188460210,11846,13419.4783,-0.004930,0.016328,1.500537
83412,188468400,11847,13447.2204,-0.003600,0.027146,1.460287
83413,188476591,11848,13436.2609,-0.004477,0.015150,1.420118
83414,188484783,11848,13436.2609,-0.005446,0.015532,1.379985
83415,188492974,11849,13405.7249,-0.001770,0.015898,1.339981
83416,188501164,11850,13437.5727,-0.002262,0.019824,1.299882
83417,188509355,11851,13456.5642,-0.006586,0.017967,1.259949
83418,188517547,11851,13456.5642,-0.005425,0.014843,1.220016
83419,188525738,11852,13399.3997,-0.006600,0.022725,1.180040
83420,188533929,11853,13448.6948,-0.005929,0.018576,1.140373
83421,188542121,11853,13448.6948,-0.003810,0.027899,1.100834
83422,188550311,11854,13430.2104,-0.002985,0.022582,1.060922
83423,188558501,11855,13437.7979,-0.003036,0.019066,1.020927
83424,188566692,11856,13481.9546,-0.002982,0.018847,0.980728
83425,188574884,11856,13481.9546,-0.004813,0.024147,0.940439
83426,188583075,11857,13501.8481,-0.005352,0.019713,0.900499
83427,188591266,11858,13560.9570,-0.005740,0.010568,0.860515
83428,188599458,11858,13560.9570,-0.005424,0.023520,0.820462
83429,188607649,11859,13647.8908,-0.003372,0.014909,0.780552
83430,188615840,11860,13681.8877,-0.003477,0.022909,0.740745
83431,188624031,11861,13697.8435,-0.001418,0.039698,0.700685
83432,188632223,11861,13697.8435,-0.003445,0.022908,0.660479
83433,188640414,11862,13676.5417,-0.003631,0.015279,0.620216
83434,188648604,11863,13683.2494,-0.003548,0.011936,0.579739
83435,188656794,11864,13687.7699,0.000063,0.017129,0.539553
83436,188664986,11864,13687.7699,-0.004898,0.014550,0.499511
83437,188673177,11865,13736.3718,0.001939,0.014914,0.499663
83438,188681368,11866,13733.6800,-0.001880,0.029242,0.499665
83439,188689560,11866,13733.6800,-0.002566,0.012261,0.499865
83440,188697750,11867,13759.5219,-0.005021,0.015961,0.499916
83441,188705941,11868,13793.9861,-0.003332,0.015671,0.499815
83442,188714132,11869,13835.4952,-0.002656,0.014128,0.499759
83443,188722324,11869,13835.4952,-0.002868,0.007467,0.499674
83444,188730515,11870,13876.5570,-0.003266,0.006480,0.499546
83445,188738706,11871,13967.0148,-0.004458,0.011894,0.499292
83446,188746898,11871,13967.0148,-0.001916,0.015379,0.499066
83447,188755088,11872,14003.8634,-0.006008,0.025490,0.499382
83448,188763279,11873,14001.5990,-0.000995,0.041441,0.499605
83449,188771469,11874,14014.4648,-0.004431,0.017230,0.499489
83450,188779661,11874,14014.4648,-0.004971,0.009067,0.499450
83451,188787851,11875,14044.9001,-0.001615,0.015664,0.499817
83452,188796041,11876,14117.3970,-0.000239,0.012420,0.499968
83453,188804233,11876,14117.3970,-0.007104,0.009719,0.499885
83454,188812424,11877,14129.7656,-0.005521,0.007931,0.499877
83455,188820615,11878,14208.8975,-0.000849,0.005646,0.499952
83456,188828805,11879,14277.1940,-0.002584,0.011511,0.500016
83457,188836997,11879,14277.1940,-0.005456,0.015165,0.500125
83458,188845187,11880,14296.3921,-0.001979,0.018145,0.500256
83459,188853378,11881,14329.0108,-0.003499,0.014193,0.500158
83460,188861568,11882,14340.9637,-0.005582,0.015678,0.500443
83461,188869760,11882,14340.9637,-0.005080,0.017785,0.500583
83462,188877951,11883,14361.4512,-0.001298,0.018155,0.500637
83463,188886142,11884,14442.3121,-0.004971,0.015270,0.500589
83464,188894334,11884,14442.3121,-0.004752,0.006218,0.500431
83465,188902525,11885,14514.5275,-0.007263,0.024103,0.500327
83466,188910716,11886,14504.9507,-0.000162,0.020657,0.500312
83467,188918907,11887,14547.5591,0.000054,0.031258,0.500315
83468,188927099,11887,14547.5591,-0.002922,0.015375,0.500103
83469,188935290,11888,14594.6228,-0.006459,0.008501,0.500107
83470,188943481,11889,14637.5052,-0.003503,0.010466,0.500155
83471,188951673,11889,14637.5052,-0.002944,0.008451,0.500079
83472,188959864,11890,14681.9420,-0.007709,0.013741,0.499925
83473,188968055,11891,14681.0882,-0.003896,0.027069,0.500150
83474,188976245,11892,14714.5291,-0.003667,0.013838,0.500371
83475,188984437,11892,14714.5291,-0.002125,0.008043,0.500095
83476,188992628,11893,14792.7336,-0.002623,0.009810,0.499745
83477,189000818,11894,14843.7938,-0.006191,0.015102,0.499594
83478,189009010,11894,14843.7938,-0.003523,0.010835,0.499589
83479,189017200,11895,14841.8145,-0.003073,0.014948,0.499640
83480,189025391,11896,14869.9034,-0.002636,0.013654,0.499521
83481,189033581,11897,14910.8498,-0.005609,0.016428,0.499356
83482,189041773,11897,14910.8498,-0.005562,0.016862,0.499149
83483,189049964,11898,14937.4742,-0.005950,0.016069,0.499363
83484,189058155,11899,14988.0533,-0.003160,0.010481,0.499378
83485,189066345,11900,15011.6349,-0.001943,0.011472,0.499143
83486,189074537,11900,15011.6349,-0.003882,0.014678,0.499069
83487,189082728,11901,15033.8089,-0.006910,0.018734,0.499145
83488,189090919,11902,15013.0741,-0.005176,0.023205,0.499083
83489,189099111,11902,15013.0741,-0.005852,0.019014,0.499462
83490,189107301,11903,15024.4875,-0.003423,0.038394,0.499849
83491,189115492,11904,15015.2399,-0.004984,0.025443,0.500278
83492,189123682,11905,15018.4416,-0.002162,0.038505,0.500427
83493,189131874,11905,15018.4416,-0.004772,0.018219,0.500435
83494,189140065,11906,15014.0369,-0.005838,0.020722,0.500655
83495,189148256,11907,15057.2140,-0.005014,0.014891,0.500905
83496,189156448,11907,15057.2140,-0.003401,0.017463,0.501078
83497,189164639,11908,15107.3948,-0.003336,0.009982,0.500990
83498,189172829,11909,15155.0299,-0.002763,0.014129,0.500701
83499,189181019,11910,15189.9669,-0.002400,0.014844,0.500790
83500,189189211,11910,15189.9669,-0.001558,0.012996,0.500963
83501,189197401,11911,15157.0979,0.000850,0.057868,0.500907
83502,189205591,11912,15183.0045,-0.003566,0.020412,0.501013
83503,189213783,11912,15183.0045,-0.002792,0.018478,0.501093
83504,189221974,11913,15196.4364,-0.004329,0.013912,0.501235
83505,189230165,11914,15219.2960,-0.004757,0.010077,0.501361
83506,189238356,11915,15237.8750,0.001823,0.020324,0.501458
83507,189246548,11915,15237.8750,-0.002612,0.011197,0.501644
83508,189254739,11916,15230.1330,-0.005835,0.021320,0.501569
83509,189262930,11917,15250.9334,-0.005429,0.020204,0.501267
83510,189271121,11918,15273.3328,-0.002665,0.015135,0.500853
83511,189279313,11918,15273.3328,-0.001395,0.009523,0.500777
83512,189287504,11919,15287.4392,-0.009988,0.015583,0.500989
83513,189295695,11920,15324.2680,-0.002434,0.013599,0.501400
83514,189303887,11920,15324.2680,-0.004026,0.019021,0.501823
83515,189312078,11921,15369.1083,-0.001568,0.014992,0.501972
83516,189320268,11922,15418.2195,-0.003819,0.028057,0.502070
83517,189328458,11923,15421.4800,-0.005301,0.039275,0.501931
83518,189336650,11923,15421.4800,-0.005411,0.011801,0.501888
83519,189344840,11924,15468.3475,-0.005833,0.010048,0.501804
83520,189353030,11925,15559.6988,-0.003194,0.034813,0.502022
83521,189361222,11925,15559.6988,-0.006013,0.017151,0.502071
83522,189369413,11926,15599.7829,-0.000799,0.017355,0.502353
83523,189377603,11927,15655.6499,-0.002006,0.031546,0.502239
83524,189385794,11928,15642.3909,-0.004596,0.027367,0.502379
83525,189393986,11928,15642.3909,-0.005177,0.014156,0.502466
83526,189402176,11929,15663.6484,-0.003361,0.018461,0.502510
83527,189410367,11930,15697.3152,-0.002320,0.015227,0.502494
83528,189418559,11930,15697.3152,-0.004621,0.012625,0.502323
83529,189426749,11931,15754.9946,-0.004052,0.014347,0.502319
83530,189434940,11932,15740.9424,-0.003940,0.022103,0.502637
83531,189443130,11933,15763.5657,-0.002843,0.026041,0.502583
83532,189451322,11933,15763.5657,-0.001784,0.019747,0.502133
83533,189459513,11934,15792.1244,-0.004581,0.014971,0.502071
83534,189467704,11935,15865.9610,-0.008484,0.019713,0.502068
83535,189475895,11936,15885.3335,-0.002643,0.039955,0.502022
83536,189484087,11936,15885.3335,-0.002741,0.006754,0.502125
83537,189492277,11937,15909.9738,-0.004922,0.013901,0.502333
83538,189500468,11938,15943.4167,0.051957,0.035945,0.502370
83539,189508660,11938,15943.4167,-0.005851,0.008783,0.502211
83540,189516851,11939,16004.0613,-0.001890,0.014572,0.501954
83541,189525042,11940,16002.1485,-0.003365,0.032158,0.502023
83542,189533233,11941,16016.5342,-0.006625,0.014421,0.502239
83543,189541425,11941,16016.5342,-0.003209,0.017785,0.502210
83544,189549616,11942,16020.9806,-0.005758,0.030013,0.502141
83545,189557807,11943,16029.1686,-0.004897,0.021242,0.502072
83546,189565999,11943,16029.1686,-0.005708,0.019094,0.501974
83547,189574190,11944,16050.4060,-0.006147,0.029684,0.501854
83548,189582380,11945,16109.3565,-0.002908,0.021188,0.501637
83549,189590571,11946,16124.1862,-0.005643,0.017588,0.501444
83550,189598763,11946,16124.1862,-0.001947,0.019474,0.501310
83551,189606953,11947,16121.7179,-0.004209,0.017446,0.501184
83552,189615143,11948,16176.5251,-0.003561,0.013273,0.500927
83553,189623335,11948,16176.5251,-0.006853,0.009734,0.500882
83554,189631525,11949,16237.8329,-0.002920,0.010698,0.500627
83555,189639716,11950,16259.6834,-0.004324,0.012677,0.500436
83556,189647907,11951,16321.9412,-0.000579,0.014860,0.500569
83557,189656099,11951,16321.9412,-0.003517,0.029100,0.500664
83558,189664290,11952,16313.8054,-0.002024,0.073025,0.500620
83559,189672480,11953,16287.4035,-0.005196,0.017872,0.500529
83560,189680671,11954,16345.2303,-0.006268,0.020155,0.500434
83561,189688863,11954,16345.2303,-0.005451,0.012957,0.500373
83562,189697054,11955,16380.5985,-0.005031,0.018859,0.500040
83563,189705245,11956,16398.2154,-0.002400,0.022397,0.499913
83564,189713437,11956,16398.2154,0.002837,0.011242,0.499993
83565,189721628,11957,16428.1434,-0.002928,0.022196,0.500114
