update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
1,512,0,0.0000,-0.000689,0.000147,2.192637
2,1024,0,0.0000,-0.000504,0.000129,2.192877
3,1536,0,0.0000,-0.000160,0.000091,2.192683
4,2048,0,0.0000,-0.000488,0.000045,2.192390
5,2560,0,0.0000,-0.000980,0.000040,2.192976
6,3072,0,0.0000,-0.000941,0.000025,2.193600
7,3584,0,0.0000,-0.000995,0.000012,2.193281
8,4096,0,0.0000,-0.000978,0.000033,2.192744
9,4608,0,0.0000,-0.001715,0.000020,2.191716
10,5120,0,0.0000,-0.001246,0.000010,2.188791
11,5632,0,0.0000,-0.001421,0.000003,2.186187
12,6144,0,0.0000,-0.001548,0.035532,2.185057
13,6656,0,0.0000,-0.000036,0.000170,2.184064
14,7168,1,-28.1367,-0.000125,0.000137,2.183377
15,7680,1,-28.1367,-0.000631,0.000038,2.183899
16,8192,1,-28.1367,-0.000293,0.000016,2.185658
17,8704,1,-28.1367,-0.000145,0.000012,2.187763
18,9216,1,-28.1367,0.000029,0.030333,2.188697
19,9728,1,-28.1367,-0.000735,0.000223,2.188832
20,10240,1,-28.1367,-0.000493,0.000066,2.189319
21,10752,1,-28.1367,0.000104,0.000041,2.188088
22,11264,1,-28.1367,-0.000264,0.000021,2.189380
23,11776,1,-28.1367,-0.001288,0.000008,2.190024
24,12288,1,-28.1367,-0.000621,0.000011,2.190866
25,12800,1,-28.1367,-0.000778,0.000010,2.191162
26,13312,1,-28.1367,-0.000677,0.000008,2.190905
27,13824,1,-28.1367,-0.001340,0.000007,2.190152
28,14336,2,-25.7764,-0.003502,0.000004,2.186589
29,14848,2,-25.7764,-0.000648,0.000006,2.174539
30,15360,2,-25.7764,-0.000280,0.000011,2.167424
31,15872,2,-25.7764,-0.001297,0.032181,2.166456
32,16384,2,-25.7764,-0.000806,0.000272,2.166730
33,16896,2,-25.7764,-0.001185,0.000255,2.160444
34,17408,2,-25.7764,-0.000976,0.000149,2.166147
35,17920,2,-25.7764,-0.002137,0.000154,2.160813
36,18432,2,-25.7764,-0.000641,0.000256,2.147195
37,18944,2,-25.7764,-0.001125,0.021908,2.150664
38,19456,2,-25.7764,-0.001752,0.000511,2.144457
39,19968,2,-25.7764,-0.001074,0.000290,2.145439
40,20480,2,-25.7764,0.000667,0.000418,2.157134
41,20992,2,-25.7764,-0.003882,0.000614,2.140184
42,21504,2,-25.7764,-0.000874,0.010347,2.095590
43,22016,2,-25.7764,-0.001952,0.000376,2.114259
44,22528,2,-25.7764,-0.000409,0.000838,2.136856
45,23040,2,-25.7764,-0.000704,0.266961,2.144331
46,23552,2,-25.7764,0.000073,0.006218,2.157192
47,24064,2,-25.7764,-0.002057,0.002363,2.146227
48,24576,2,-25.7764,-0.001978,0.005075,2.113147
49,25088,2,-25.7764,-0.000939,0.003961,2.081335
50,25600,2,-25.7764,-0.000751,0.007718,2.079603
51,26112,3,-56.7366,-0.003514,0.000252,2.112530
52,26624,3,-56.7366,-0.001201,0.001109,2.141775
53,27136,3,-56.7366,0.000223,0.001822,2.152224
54,27648,3,-56.7366,-0.000140,0.007619,2.151536
55,28160,3,-56.7366,-0.002373,0.000009,2.159577
56,28672,3,-56.7366,-0.000569,0.000058,2.168263
57,29184,3,-56.7366,-0.000263,0.000112,2.168783
58,29696,3,-56.7366,-0.001403,0.000116,2.171233
59,30208,3,-56.7366,-0.002336,0.000044,2.168720
60,30720,3,-56.7366,-0.007508,0.000027,2.153839
61,31232,3,-56.7366,-0.004795,0.000038,2.124221
62,31744,3,-56.7366,-0.003071,0.000180,2.080278
63,32256,3,-56.7366,-0.006044,0.000073,2.080269
64,32768,3,-56.7366,-0.009083,0.000008,2.152989
65,33280,4,-51.7059,0.000016,0.000001,2.179519
66,33792,4,-51.7059,-0.000850,0.000001,2.185128
67,34304,4,-51.7059,-0.001146,0.000000,2.189856
68,34816,4,-51.7059,-0.001681,0.019107,2.192963
69,35328,4,-51.7059,-0.001054,0.001908,2.193695
70,35840,4,-51.7059,-0.001457,0.000240,2.194367
71,36352,4,-51.7059,-0.000684,0.000040,2.192842
72,36864,4,-51.7059,-0.001989,0.000016,2.190850
73,37376,4,-51.7059,0.000335,0.000026,2.188212
74,37888,4,-51.7059,-0.001810,0.000211,2.189172
75,38400,4,-51.7059,-0.001237,0.000009,2.189060
76,38912,4,-51.7059,-0.002763,0.000017,2.185577
77,39424,4,-51.7059,-0.000791,0.000075,2.175728
78,39936,4,-51.7059,-0.001884,0.000584,2.157278
79,40448,4,-51.7059,-0.003364,0.007968,2.126873
80,40960,4,-51.7059,-0.000083,3.335739,2.147919
81,41472,4,-51.7059,-0.004620,0.002236,2.108533
82,41984,4,-51.7059,-0.004335,0.173583,2.060855
83,42496,4,-51.7059,-0.000163,0.000398,2.108897
84,43008,4,-51.7059,-0.000342,0.000597,2.135789
85,43520,4,-51.7059,-0.002125,0.011513,2.147502
86,44032,4,-51.7059,-0.001533,0.000386,2.156621
87,44544,4,-51.7059,-0.005480,0.000508,2.165932
88,45056,5,-19.3757,0.000902,0.001777,2.177728
89,45568,5,-19.3757,-0.001105,0.001475,2.177057
90,46080,5,-19.3757,-0.000778,0.000753,2.181985
91,46592,5,-19.3757,-0.000644,0.000780,2.183039
92,47104,5,-19.3757,-0.000680,0.009176,2.186126
93,47616,5,-19.3757,-0.000647,0.000101,2.186236
94,48128,5,-19.3757,0.000043,0.000039,2.183620
95,48640,5,-19.3757,-0.000293,0.000034,2.182718
96,49152,5,-19.3757,-0.000623,0.000020,2.181068
97,49664,5,-19.3757,-0.000320,0.000046,2.181132
98,50176,5,-19.3757,-0.001618,0.000125,2.173757
99,50688,5,-19.3757,-0.004267,0.000050,2.159303
100,51200,5,-19.3757,-0.000118,0.000008,2.152043
101,51712,5,-19.3757,-0.003092,0.000012,2.159279
102,52224,6,-20.9177,-0.001342,0.000004,2.172024
103,52736,6,-20.9177,-0.005386,0.000002,2.183718
104,53248,6,-20.9177,-0.000202,0.000003,2.189696
105,53760,6,-20.9177,-0.001383,0.000003,2.190652
106,54272,6,-20.9177,-0.001133,0.000001,2.190495
107,54784,6,-20.9177,-0.000985,0.000001,2.190049
108,55296,6,-20.9177,-0.001599,0.000001,2.188869
